yourlist:M202103258471C63D39733769F8E060B506551E121A101CL	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
1HDN,1POH	P0AA04	PTHP_ECOLI	reviewed	Phosphocarrier protein HPr (Histidine-containing protein)	ptsH hpr b2415 JW2408	Escherichia coli (strain K12)	85
1AVZ,1NYF,1SHF	P06241	FYN_HUMAN	reviewed	Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase) (SLK) (p59-Fyn)	FYN	Homo sapiens (Human)	537
1TIT	Q8WZ42	TITIN_HUMAN	reviewed	Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14)	TTN	Homo sapiens (Human)	34350
1UBQ	P0CG48	UBC_HUMAN	reviewed	Polyubiquitin-C [Cleaved into: Ubiquitin]	UBC	Homo sapiens (Human)	685
1FHT,1URN	P09012	SNRPA_HUMAN	reviewed	U1 small nuclear ribonucleoprotein A (U1 snRNP A) (U1-A) (U1A)	SNRPA	Homo sapiens (Human)	282
1VIK	P12499	POL_HV1Z2	reviewed	Gag-Pol polyprotein (Pr160Gag-Pol) [Cleaved into: Matrix protein p17 (MA); Capsid protein p24 (CA); Spacer peptide 1 (SP1) (p2); Nucleocapsid protein p7 (NC); Transframe peptide (TF); p6-pol (p6*); Protease (EC 3.4.23.16) (PR) (Retropepsin); Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2) (p66 RT); p51 RT; p15; Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)]	gag-pol	Human immunodeficiency virus type 1 group M subtype D (isolate Z2/CDC-Z34) (HIV-1)	1436
1WIT	Q23551	UNC22_CAEEL	reviewed	Twitchin (EC 2.7.11.1) (Uncoordinated protein 22)	unc-22 ZK617.1	Caenorhabditis elegans	7158
1YCC	P00044	CYC1_YEAST	reviewed	Cytochrome c isoform 1 (Iso-1-cytochrome c) (Cytochrome c aerobic isoform)	CYC1 YJR048W J1653	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	109
256B	P0ABE7	C562_ECOLX	reviewed	Soluble cytochrome b562 (Cytochrome b-562)	cybC	Escherichia coli	128
1NTI,2ABD	P07107	ACBP_BOVIN	reviewed	Acyl-CoA-binding protein (ACBP) (Diazepam-binding inhibitor) (DBI) (Endozepine) (EP)	DBI	Bos taurus (Bovine)	87
2ACY	P41500	ACYP1_BOVIN	reviewed	Acylphosphatase-1 (EC 3.6.1.7) (Acylphosphatase, erythrocyte/testis isozyme) (Acylphosphatase, organ-common type isozyme) (Acylphosphate phosphohydrolase 1)	ACYP1 ACYPE	Bos taurus (Bovine)	101
2AIT	P01092	IAA_STRTE	reviewed	Alpha-amylase inhibitor HOE-467A (Tendamistat)		Streptomyces tendae	104
3CI2,1CIS,1COA,2CI2	P01053	ICI2_HORVU	reviewed	Subtilisin-chymotrypsin inhibitor-2A (CI-2A)		Hordeum vulgare (Barley)	84
2HQI	P04129	MERP_SHIFL	reviewed	Mercuric transport protein periplasmic component (Mercury scavenger protein) (Periplasmic mercury ion-binding protein)	merP	Shigella flexneri	91
1W4E,1EBD,2PDD	P11961	ODP2_GEOSE	reviewed	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (E2)	pdhC	Geobacillus stearothermophilus (Bacillus stearothermophilus)	428
1VII,2VIL,2VIK	P02640	VILI_CHICK	reviewed	Villin-1	VIL1 VIL	Gallus gallus (Chicken)	826
1MJC,3MEF	P0A9X9	CSPA_ECOLI	reviewed	Cold shock protein CspA (CSP-A) (7.4 kDa cold shock protein) (CS7.4)	cspA cspS b3556 JW3525	Escherichia coli (strain K12)	70
